BATCH 25 training acc=0.718750, cost=0.699447, test acc=0.800374, cost=0.522518, disagree_f1=0.688642, neural_f1=0.928089, agree_f1=0.322769, average_f1=0.646500
BATCH 26 training acc=0.718750, cost=0.545461, test acc=0.789328, cost=0.527737, disagree_f1=0.622153, neural_f1=0.930188, agree_f1=0.380360, average_f1=0.644234
BATCH 27 training acc=0.781250, cost=0.703858, test acc=0.785498, cost=0.527513, disagree_f1=0.578898, neural_f1=0.932341, agree_f1=0.408056, average_f1=0.639765
BATCH 28 training acc=0.656250, cost=0.848446, test acc=0.783984, cost=0.518980, disagree_f1=0.542103, neural_f1=0.933737, agree_f1=0.430579, average_f1=0.635473
BATCH 29 training acc=0.625000, cost=0.699281, test acc=0.797969, cost=0.512216, disagree_f1=0.614019, neural_f1=0.933996, agree_f1=0.413270, average_f1=0.653762
BATCH 30 training acc=0.562500, cost=1.058632, test acc=0.800641, cost=0.522506, disagree_f1=0.638289, neural_f1=0.934099, agree_f1=0.397909, average_f1=0.656765
BATCH 31 training acc=0.593750, cost=0.701439, test acc=0.799572, cost=0.531064, disagree_f1=0.637624, neural_f1=0.932891, agree_f1=0.407006, average_f1=0.659174
BATCH 32 training acc=0.718750, cost=0.630854, test acc=0.800641, cost=0.528777, disagree_f1=0.648093, neural_f1=0.933369, agree_f1=0.389713, average_f1=0.657058
BATCH 33 training acc=0.687500, cost=0.614296, test acc=0.795475, cost=0.540495, disagree_f1=0.661140, neural_f1=0.928508, agree_f1=0.369980, average_f1=0.653209
BATCH 34 training acc=0.718750, cost=0.585404, test acc=0.796722, cost=0.541113, disagree_f1=0.683659, neural_f1=0.926268, agree_f1=0.342480, average_f1=0.650802
BATCH 35 training acc=0.718750, cost=0.699051, test acc=0.793515, cost=0.548790, disagree_f1=0.704231, neural_f1=0.919726, agree_f1=0.315374, average_f1=0.646444
BATCH 36 training acc=0.718750, cost=0.557290, test acc=0.770087, cost=0.575352, disagree_f1=0.697248, neural_f1=0.897989, agree_f1=0.287447, average_f1=0.627561
BATCH 37 training acc=0.718750, cost=0.589451, test acc=0.768306, cost=0.571046, disagree_f1=0.695360, neural_f1=0.896856, agree_f1=0.264519, average_f1=0.618911
BATCH 38 training acc=0.718750, cost=0.638375, test acc=0.778015, cost=0.542395, disagree_f1=0.697455, neural_f1=0.904510, agree_f1=0.261667, average_f1=0.621211
BATCH 39 training acc=0.593750, cost=0.748954, test acc=0.807679, cost=0.499489, disagree_f1=0.719486, neural_f1=0.927700, agree_f1=0.274476, average_f1=0.640554
BATCH 40 training acc=0.625000, cost=0.604852, test acc=0.817477, cost=0.472881, disagree_f1=0.716467, neural_f1=0.933695, agree_f1=0.303485, average_f1=0.651216
