Using GPU: 2...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.312500, cost=0.699683, test acc=0.666383, cost=0.636349, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.625000, cost=0.660703, test acc=0.666383, cost=0.632458, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.656250, cost=0.649516, test acc=0.666383, cost=0.632933, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.656250, cost=0.618336, test acc=0.666383, cost=0.631537, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.593750, cost=0.702862, test acc=0.666383, cost=0.627043, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.625000, cost=0.650552, test acc=0.666383, cost=0.630581, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.625000, cost=0.638419, test acc=0.666383, cost=0.635587, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.656250, cost=0.631286, test acc=0.666383, cost=0.631356, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.656250, cost=0.654613, test acc=0.667234, cost=0.622767, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 10 training acc=0.750000, cost=0.619915, test acc=0.666383, cost=0.609900, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.687500, cost=0.577824, test acc=0.666383, cost=0.614900, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.718750, cost=0.556020, test acc=0.666383, cost=0.643462, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.718750, cost=0.599409, test acc=0.666383, cost=0.653615, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.687500, cost=0.688680, test acc=0.667234, cost=0.635237, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 15 training acc=0.687500, cost=0.606353, test acc=0.667234, cost=0.612976, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 16 training acc=0.625000, cost=0.638117, test acc=0.672340, cost=0.598196, disagree_f1=0.802463, agree_f1=0.039900, average_f1=0.421182
BATCH 17 training acc=0.812500, cost=0.527286, test acc=0.670638, cost=0.596121, disagree_f1=0.800618, agree_f1=0.053790, average_f1=0.427204
BATCH 18 training acc=0.718750, cost=0.560356, test acc=0.678298, cost=0.595142, disagree_f1=0.803534, agree_f1=0.112676, average_f1=0.458105
BATCH 19 training acc=0.687500, cost=0.647275, test acc=0.683404, cost=0.595992, disagree_f1=0.805236, agree_f1=0.154545, average_f1=0.479891
BATCH 20 training acc=0.687500, cost=0.633072, test acc=0.682553, cost=0.596841, disagree_f1=0.804405, agree_f1=0.158014, average_f1=0.481209
BATCH 21 training acc=0.875000, cost=0.492562, test acc=0.674043, cost=0.593398, disagree_f1=0.801452, agree_f1=0.090261, average_f1=0.445856
BATCH 22 training acc=0.500000, cost=0.753929, test acc=0.674043, cost=0.593815, disagree_f1=0.801245, agree_f1=0.094563, average_f1=0.447904
BATCH 23 training acc=0.656250, cost=0.579726, test acc=0.673191, cost=0.592411, disagree_f1=0.800623, agree_f1=0.094340, average_f1=0.447481
BATCH 24 training acc=0.718750, cost=0.619991, test acc=0.673191, cost=0.590821, disagree_f1=0.801242, agree_f1=0.081340, average_f1=0.441291
BATCH 25 training acc=0.687500, cost=0.598077, test acc=0.673191, cost=0.589253, disagree_f1=0.801448, agree_f1=0.076923, average_f1=0.439185
BATCH 26 training acc=0.593750, cost=0.719740, test acc=0.674043, cost=0.588842, disagree_f1=0.801452, agree_f1=0.090261, average_f1=0.445856
BATCH 27 training acc=0.781250, cost=0.548199, test acc=0.676596, cost=0.587487, disagree_f1=0.802700, agree_f1=0.103774, average_f1=0.453237
BATCH 28 training acc=0.718750, cost=0.555021, test acc=0.677447, cost=0.585026, disagree_f1=0.803117, agree_f1=0.108235, average_f1=0.455676
BATCH 29 training acc=0.781250, cost=0.555895, test acc=0.675745, cost=0.583208, disagree_f1=0.802283, agree_f1=0.099291, average_f1=0.450787
BATCH 30 training acc=0.687500, cost=0.570208, test acc=0.675745, cost=0.581611, disagree_f1=0.802283, agree_f1=0.099291, average_f1=0.450787
BATCH 31 training acc=0.625000, cost=0.570926, test acc=0.676596, cost=0.579674, disagree_f1=0.802700, agree_f1=0.103774, average_f1=0.453237
BATCH 32 training acc=0.656250, cost=0.573805, test acc=0.679149, cost=0.578263, disagree_f1=0.803748, agree_f1=0.121212, average_f1=0.462480
BATCH 33 training acc=0.718750, cost=0.567637, test acc=0.686809, cost=0.575936, disagree_f1=0.807128, agree_f1=0.167421, average_f1=0.487274
BATCH 34 training acc=0.781250, cost=0.483751, test acc=0.688511, cost=0.578984, disagree_f1=0.808176, agree_f1=0.171946, average_f1=0.490061
BATCH 35 training acc=0.687500, cost=0.614865, test acc=0.691064, cost=0.573247, disagree_f1=0.808645, agree_f1=0.198675, average_f1=0.503660
BATCH 36 training acc=0.750000, cost=0.569702, test acc=0.695319, cost=0.568060, disagree_f1=0.809777, agree_f1=0.235043, average_f1=0.522410
BATCH 37 training acc=0.812500, cost=0.415483, test acc=0.700426, cost=0.559423, disagree_f1=0.810140, agree_f1=0.290323, average_f1=0.550231
BATCH 38 training acc=0.687500, cost=0.542648, test acc=0.712340, cost=0.543806, disagree_f1=0.810112, agree_f1=0.407018, average_f1=0.608565
BATCH 39 training acc=0.906250, cost=0.367810, test acc=0.720000, cost=0.540978, disagree_f1=0.811893, agree_f1=0.452579, average_f1=0.632236
BATCH 40 training acc=0.593750, cost=0.596314, test acc=0.723404, cost=0.537470, disagree_f1=0.803150, agree_f1=0.535050, average_f1=0.669100
BATCH 41 training acc=0.593750, cost=0.619292, test acc=0.702979, cost=0.554466, disagree_f1=0.766867, agree_f1=0.590856, average_f1=0.678861
BATCH 42 training acc=0.593750, cost=0.614406, test acc=0.696170, cost=0.564638, disagree_f1=0.752255, agree_f1=0.607261, average_f1=0.679758
BATCH 43 training acc=0.687500, cost=0.703269, test acc=0.699574, cost=0.566929, disagree_f1=0.752974, agree_f1=0.616721, average_f1=0.684848
BATCH 44 training acc=0.781250, cost=0.546680, test acc=0.718298, cost=0.547431, disagree_f1=0.783519, agree_f1=0.596833, average_f1=0.690176
BATCH 45 training acc=0.687500, cost=0.573889, test acc=0.725957, cost=0.532378, disagree_f1=0.808333, agree_f1=0.519403, average_f1=0.663868
BATCH 46 training acc=0.625000, cost=0.600496, test acc=0.726809, cost=0.536429, disagree_f1=0.818746, agree_f1=0.445596, average_f1=0.632171
BATCH 47 training acc=0.750000, cost=0.557729, test acc=0.709787, cost=0.555184, disagree_f1=0.815775, agree_f1=0.316633, average_f1=0.566204
BATCH 48 training acc=0.625000, cost=0.645800, test acc=0.697872, cost=0.564414, disagree_f1=0.812070, agree_f1=0.229935, average_f1=0.521002
BATCH 49 training acc=0.812500, cost=0.517782, test acc=0.680851, cost=0.560685, disagree_f1=0.804992, agree_f1=0.121780, average_f1=0.463386
BATCH 50 training acc=0.625000, cost=0.659280, test acc=0.678298, cost=0.551378, disagree_f1=0.804145, agree_f1=0.100000, average_f1=0.452073
BATCH 51 training acc=0.781250, cost=0.450014, test acc=0.677447, cost=0.548828, disagree_f1=0.803729, agree_f1=0.095465, average_f1=0.449597
BATCH 52 training acc=0.625000, cost=0.566217, test acc=0.688511, cost=0.544963, disagree_f1=0.806962, agree_f1=0.193833, average_f1=0.500397
BATCH 53 training acc=0.718750, cost=0.584501, test acc=0.704681, cost=0.545564, disagree_f1=0.813541, agree_f1=0.290389, average_f1=0.551965
BATCH 54 training acc=0.625000, cost=0.640836, test acc=0.720000, cost=0.553349, disagree_f1=0.813598, agree_f1=0.437607, average_f1=0.625602
BATCH 55 training acc=0.718750, cost=0.541384, test acc=0.730213, cost=0.557234, disagree_f1=0.813639, agree_f1=0.511556, average_f1=0.662598
BATCH 56 training acc=0.593750, cost=0.616933, test acc=0.725957, cost=0.553751, disagree_f1=0.813008, agree_f1=0.487261, average_f1=0.650135
BATCH 57 training acc=0.593750, cost=0.614141, test acc=0.732766, cost=0.553055, disagree_f1=0.814858, agree_f1=0.519878, average_f1=0.667368
BATCH 58 training acc=0.843750, cost=0.484992, test acc=0.725957, cost=0.544165, disagree_f1=0.814088, agree_f1=0.478964, average_f1=0.646526
BATCH 59 training acc=0.656250, cost=0.640457, test acc=0.723404, cost=0.538357, disagree_f1=0.812247, agree_f1=0.474960, average_f1=0.643603
BATCH 60 training acc=0.812500, cost=0.466945, test acc=0.727660, cost=0.530074, disagree_f1=0.817768, agree_f1=0.461279, average_f1=0.639524
BATCH 61 training acc=0.656250, cost=0.643314, test acc=0.729362, cost=0.527725, disagree_f1=0.819318, agree_f1=0.461017, average_f1=0.640168
BATCH 62 training acc=0.812500, cost=0.449787, test acc=0.728511, cost=0.526818, disagree_f1=0.819672, agree_f1=0.450947, average_f1=0.635309
BATCH 63 training acc=0.625000, cost=0.703593, test acc=0.735319, cost=0.525389, disagree_f1=0.822387, agree_f1=0.480801, average_f1=0.651594
BATCH 64 training acc=0.781250, cost=0.465867, test acc=0.731915, cost=0.529134, disagree_f1=0.822535, agree_f1=0.452174, average_f1=0.637355
BATCH 65 training acc=0.812500, cost=0.490591, test acc=0.725957, cost=0.539102, disagree_f1=0.822296, agree_f1=0.401487, average_f1=0.611891
BATCH 66 training acc=0.718750, cost=0.672257, test acc=0.724255, cost=0.539126, disagree_f1=0.820796, agree_f1=0.402214, average_f1=0.611505
BATCH 67 training acc=0.718750, cost=0.600951, test acc=0.732766, cost=0.528390, disagree_f1=0.823596, agree_f1=0.449123, average_f1=0.636359
BATCH 68 training acc=0.750000, cost=0.629781, test acc=0.737021, cost=0.518651, disagree_f1=0.819825, agree_f1=0.513386, average_f1=0.666605
BATCH 69 training acc=0.718750, cost=0.580077, test acc=0.742979, cost=0.520313, disagree_f1=0.816302, agree_f1=0.572238, average_f1=0.694270
BATCH 70 training acc=0.625000, cost=0.655015, test acc=0.731064, cost=0.541917, disagree_f1=0.791557, agree_f1=0.621103, average_f1=0.706330
BATCH 71 training acc=0.500000, cost=0.662495, test acc=0.687660, cost=0.590274, disagree_f1=0.723436, agree_f1=0.641251, average_f1=0.682344
BATCH 72 training acc=0.562500, cost=0.617406, test acc=0.639149, cost=0.625002, disagree_f1=0.655285, agree_f1=0.621429, average_f1=0.638357
BATCH 73 training acc=0.656250, cost=0.609496, test acc=0.624681, cost=0.633502, disagree_f1=0.633416, agree_f1=0.615519, average_f1=0.624468
BATCH 74 training acc=0.593750, cost=0.616702, test acc=0.647660, cost=0.621808, disagree_f1=0.669329, agree_f1=0.622951, average_f1=0.646140
BATCH 75 training acc=0.625000, cost=0.622955, test acc=0.692766, cost=0.597487, disagree_f1=0.731599, agree_f1=0.640796, average_f1=0.686197
BATCH 76 training acc=0.593750, cost=0.676300, test acc=0.746383, cost=0.571343, disagree_f1=0.804718, agree_f1=0.638350, average_f1=0.721534
BATCH 77 training acc=0.781250, cost=0.578830, test acc=0.746383, cost=0.549932, disagree_f1=0.826138, agree_f1=0.531447, average_f1=0.678792
BATCH 78 training acc=0.718750, cost=0.609524, test acc=0.716596, cost=0.540835, disagree_f1=0.818331, agree_f1=0.355899, average_f1=0.587115
