Using GPU: 1...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.343750, cost=1.099054, test acc=0.233565, cost=1.125920, disagree_f1=0.378593, neural_f1=0.000000, agree_f1=0.001513, average_f1=0.126702
BATCH 2 training acc=0.312500, cost=1.074492, test acc=0.232318, cost=1.124840, disagree_f1=0.461276, neural_f1=0.000000, agree_f1=0.181961, average_f1=0.214412
BATCH 3 training acc=0.375000, cost=1.039183, test acc=0.236594, cost=1.107774, disagree_f1=0.404883, neural_f1=0.000000, agree_f1=0.124916, average_f1=0.176599
BATCH 4 training acc=0.406250, cost=1.035283, test acc=0.232051, cost=1.041438, disagree_f1=0.383355, neural_f1=0.000274, agree_f1=0.047645, average_f1=0.143758
BATCH 5 training acc=0.468750, cost=0.982147, test acc=0.456084, cost=0.951892, disagree_f1=0.460281, neural_f1=0.514943, agree_f1=0.012570, average_f1=0.329265
BATCH 6 training acc=0.312500, cost=1.016987, test acc=0.805719, cost=0.827612, disagree_f1=0.706548, neural_f1=0.923362, agree_f1=0.001506, average_f1=0.543805
BATCH 7 training acc=0.656250, cost=0.970989, test acc=0.821931, cost=0.700192, disagree_f1=0.722222, neural_f1=0.927695, agree_f1=0.020802, average_f1=0.556907
BATCH 8 training acc=0.531250, cost=0.963786, test acc=0.811153, cost=0.615401, disagree_f1=0.699621, neural_f1=0.916190, agree_f1=0.061885, average_f1=0.559232
BATCH 9 training acc=0.593750, cost=0.830555, test acc=0.812400, cost=0.566279, disagree_f1=0.683905, neural_f1=0.918691, agree_f1=0.236813, average_f1=0.613136
BATCH 10 training acc=0.687500, cost=0.760305, test acc=0.772136, cost=0.554112, disagree_f1=0.419725, neural_f1=0.924870, agree_f1=0.438939, average_f1=0.594511
BATCH 11 training acc=0.656250, cost=0.713527, test acc=0.720114, cost=0.568875, disagree_f1=0.000000, neural_f1=0.933421, agree_f1=0.420914, average_f1=0.451445
BATCH 12 training acc=0.687500, cost=0.626360, test acc=0.711295, cost=0.587860, disagree_f1=0.000000, neural_f1=0.931567, agree_f1=0.418681, average_f1=0.450083
BATCH 13 training acc=0.468750, cost=0.964552, test acc=0.691520, cost=0.613367, disagree_f1=0.000000, neural_f1=0.921432, agree_f1=0.406449, average_f1=0.442627
BATCH 14 training acc=0.625000, cost=0.792879, test acc=0.663905, cost=0.639775, disagree_f1=0.000000, neural_f1=0.900440, agree_f1=0.387198, average_f1=0.429213
BATCH 15 training acc=0.468750, cost=0.793587, test acc=0.716729, cost=0.654693, disagree_f1=0.531536, neural_f1=0.886410, agree_f1=0.374470, average_f1=0.597472
