Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.312500, cost=1.105770, test acc=0.279173, cost=1.094349, disagree_f1=0.000000, neural_f1=0.398817, agree_f1=0.245443, average_f1=0.214754
BATCH 2 training acc=0.312500, cost=1.094130, test acc=0.595404, cost=1.076878, disagree_f1=0.094051, neural_f1=0.827861, agree_f1=0.347720, average_f1=0.423211
BATCH 3 training acc=0.375000, cost=1.083109, test acc=0.230091, cost=1.085160, disagree_f1=0.361130, neural_f1=0.038736, agree_f1=0.271698, average_f1=0.223855
BATCH 4 training acc=0.531250, cost=1.057301, test acc=0.237841, cost=1.088336, disagree_f1=0.404015, neural_f1=0.000549, agree_f1=0.201638, average_f1=0.202067
BATCH 5 training acc=0.343750, cost=1.066920, test acc=0.247996, cost=1.069402, disagree_f1=0.389506, neural_f1=0.043100, agree_f1=0.097971, average_f1=0.176859
BATCH 6 training acc=0.343750, cost=1.062968, test acc=0.339123, cost=1.032716, disagree_f1=0.414275, neural_f1=0.286177, agree_f1=0.061013, average_f1=0.253822
BATCH 7 training acc=0.468750, cost=0.980541, test acc=0.464725, cost=0.997544, disagree_f1=0.464303, neural_f1=0.526967, agree_f1=0.081608, average_f1=0.357626
BATCH 8 training acc=0.468750, cost=1.006259, test acc=0.617762, cost=0.957746, disagree_f1=0.552656, neural_f1=0.738252, agree_f1=0.117581, average_f1=0.469496
BATCH 9 training acc=0.468750, cost=1.055901, test acc=0.748263, cost=0.908594, disagree_f1=0.657385, neural_f1=0.874663, agree_f1=0.216064, average_f1=0.582704
BATCH 10 training acc=0.531250, cost=0.943100, test acc=0.789239, cost=0.862121, disagree_f1=0.666927, neural_f1=0.917283, agree_f1=0.359944, average_f1=0.648051
BATCH 11 training acc=0.656250, cost=0.889014, test acc=0.771691, cost=0.823903, disagree_f1=0.606223, neural_f1=0.914758, agree_f1=0.402347, average_f1=0.641109
BATCH 12 training acc=0.718750, cost=0.842938, test acc=0.752004, cost=0.784884, disagree_f1=0.565671, neural_f1=0.907646, agree_f1=0.396814, average_f1=0.623377
BATCH 13 training acc=0.562500, cost=0.926994, test acc=0.747728, cost=0.741290, disagree_f1=0.555343, neural_f1=0.906153, agree_f1=0.396493, average_f1=0.619330
BATCH 14 training acc=0.843750, cost=0.667069, test acc=0.743720, cost=0.698797, disagree_f1=0.547338, neural_f1=0.904131, agree_f1=0.397803, average_f1=0.616424
BATCH 15 training acc=0.562500, cost=0.768441, test acc=0.743275, cost=0.662219, disagree_f1=0.572484, neural_f1=0.899914, agree_f1=0.389591, average_f1=0.620663
BATCH 16 training acc=0.718750, cost=0.678342, test acc=0.751203, cost=0.618327, disagree_f1=0.581619, neural_f1=0.904954, agree_f1=0.391534, average_f1=0.626036
