Using GPU: 2...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.656250, cost=0.686507, test acc=0.656170, cost=0.640707, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 2 training acc=0.625000, cost=0.660185, test acc=0.656170, cost=0.639120, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 3 training acc=0.656250, cost=0.628885, test acc=0.656170, cost=0.647828, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 4 training acc=0.687500, cost=0.617278, test acc=0.656170, cost=0.642042, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 5 training acc=0.531250, cost=0.746807, test acc=0.656170, cost=0.630274, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 6 training acc=0.750000, cost=0.553229, test acc=0.656170, cost=0.628296, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 7 training acc=0.687500, cost=0.618027, test acc=0.656170, cost=0.625335, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 8 training acc=0.593750, cost=0.651874, test acc=0.656170, cost=0.622133, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 9 training acc=0.718750, cost=0.611158, test acc=0.656170, cost=0.619317, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 10 training acc=0.593750, cost=0.698007, test acc=0.662128, cost=0.615248, disagree_f1=0.794832, agree_f1=0.043373, average_f1=0.419103
BATCH 11 training acc=0.687500, cost=0.616065, test acc=0.662979, cost=0.611543, disagree_f1=0.793103, agree_f1=0.091743, average_f1=0.442423
BATCH 12 training acc=0.750000, cost=0.546097, test acc=0.665532, cost=0.610644, disagree_f1=0.794778, agree_f1=0.096552, average_f1=0.445665
BATCH 13 training acc=0.781250, cost=0.511969, test acc=0.668085, cost=0.627529, disagree_f1=0.796875, agree_f1=0.093023, average_f1=0.444949
BATCH 14 training acc=0.531250, cost=0.780330, test acc=0.674894, cost=0.627572, disagree_f1=0.799580, agree_f1=0.139640, average_f1=0.469610
BATCH 15 training acc=0.437500, cost=0.989305, test acc=0.685957, cost=0.608393, disagree_f1=0.801720, agree_f1=0.245399, average_f1=0.523559
BATCH 16 training acc=0.500000, cost=0.690599, test acc=0.701277, cost=0.598253, disagree_f1=0.800455, agree_f1=0.406091, average_f1=0.603273
BATCH 17 training acc=0.781250, cost=0.591928, test acc=0.690213, cost=0.609984, disagree_f1=0.771069, agree_f1=0.521053, average_f1=0.646061
BATCH 18 training acc=0.593750, cost=0.616421, test acc=0.633191, cost=0.638559, disagree_f1=0.696692, agree_f1=0.536060, average_f1=0.616376
BATCH 19 training acc=0.593750, cost=0.636671, test acc=0.616170, cost=0.645658, disagree_f1=0.672000, agree_f1=0.537436, average_f1=0.604718
BATCH 20 training acc=0.625000, cost=0.655923, test acc=0.641702, cost=0.626610, disagree_f1=0.709855, agree_f1=0.531702, average_f1=0.620779
BATCH 21 training acc=0.656250, cost=0.620102, test acc=0.694468, cost=0.600809, disagree_f1=0.772929, agree_f1=0.533160, average_f1=0.653044
BATCH 22 training acc=0.718750, cost=0.591435, test acc=0.707234, cost=0.590803, disagree_f1=0.797409, agree_f1=0.472393, average_f1=0.634901
BATCH 23 training acc=0.625000, cost=0.617611, test acc=0.701277, cost=0.604736, disagree_f1=0.804020, agree_f1=0.372093, average_f1=0.588057
BATCH 24 training acc=0.687500, cost=0.625099, test acc=0.697872, cost=0.628427, disagree_f1=0.806540, agree_f1=0.310680, average_f1=0.558610
BATCH 25 training acc=0.718750, cost=0.586068, test acc=0.691064, cost=0.636873, disagree_f1=0.805362, agree_f1=0.251546, average_f1=0.528454
BATCH 26 training acc=0.687500, cost=0.602634, test acc=0.686809, cost=0.626736, disagree_f1=0.804255, agree_f1=0.217021, average_f1=0.510638
BATCH 27 training acc=0.593750, cost=0.691438, test acc=0.685957, cost=0.607017, disagree_f1=0.804244, agree_f1=0.206452, average_f1=0.505348
BATCH 28 training acc=0.718750, cost=0.546783, test acc=0.690213, cost=0.592231, disagree_f1=0.805970, agree_f1=0.232068, average_f1=0.519019
BATCH 29 training acc=0.656250, cost=0.709591, test acc=0.699574, cost=0.585831, disagree_f1=0.810521, agree_f1=0.275154, average_f1=0.542837
BATCH 30 training acc=0.750000, cost=0.537213, test acc=0.696170, cost=0.587387, disagree_f1=0.806504, agree_f1=0.293069, average_f1=0.549787
BATCH 31 training acc=0.812500, cost=0.574223, test acc=0.696170, cost=0.589993, disagree_f1=0.807339, agree_f1=0.281690, average_f1=0.544515
BATCH 32 training acc=0.687500, cost=0.538071, test acc=0.689362, cost=0.588441, disagree_f1=0.805541, agree_f1=0.228330, average_f1=0.516935
BATCH 33 training acc=0.750000, cost=0.560772, test acc=0.680000, cost=0.584722, disagree_f1=0.801268, agree_f1=0.179039, average_f1=0.490154
BATCH 34 training acc=0.718750, cost=0.570259, test acc=0.676596, cost=0.581758, disagree_f1=0.801047, agree_f1=0.136364, average_f1=0.468705
BATCH 35 training acc=0.562500, cost=0.665329, test acc=0.674894, cost=0.578257, disagree_f1=0.800209, agree_f1=0.127854, average_f1=0.464032
BATCH 36 training acc=0.625000, cost=0.711122, test acc=0.680000, cost=0.573616, disagree_f1=0.802313, agree_f1=0.160714, average_f1=0.481514
BATCH 37 training acc=0.875000, cost=0.433203, test acc=0.679149, cost=0.568634, disagree_f1=0.801892, agree_f1=0.156600, average_f1=0.479246
BATCH 38 training acc=0.625000, cost=0.550727, test acc=0.685106, cost=0.564320, disagree_f1=0.804852, agree_f1=0.185022, average_f1=0.494937
BATCH 39 training acc=0.718750, cost=0.492385, test acc=0.691064, cost=0.562777, disagree_f1=0.807631, agree_f1=0.215983, average_f1=0.511807
