Using GPU: 3...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.687500, cost=0.680145, test acc=0.664891, cost=0.634125, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.656250, cost=0.630128, test acc=0.664891, cost=0.650592, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.593750, cost=0.717501, test acc=0.664891, cost=0.628094, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.843750, cost=0.469319, test acc=0.664891, cost=0.635167, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.656250, cost=0.641010, test acc=0.664891, cost=0.625448, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.656250, cost=0.584624, test acc=0.664891, cost=0.612363, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.593750, cost=0.712944, test acc=0.664891, cost=0.602111, disagree_f1=0.797610, agree_f1=0.026529, average_f1=0.412070
BATCH 8 training acc=0.812500, cost=0.529207, test acc=0.680619, cost=0.599589, disagree_f1=0.794449, agree_f1=0.284252, average_f1=0.539351
BATCH 9 training acc=0.718750, cost=0.559383, test acc=0.668442, cost=0.601141, disagree_f1=0.775159, agree_f1=0.368904, average_f1=0.572032
BATCH 10 training acc=0.625000, cost=0.609803, test acc=0.662354, cost=0.610182, disagree_f1=0.755016, agree_f1=0.456956, average_f1=0.605986
BATCH 11 training acc=0.750000, cost=0.536678, test acc=0.642060, cost=0.621449, disagree_f1=0.722735, agree_f1=0.495170, average_f1=0.608953
BATCH 12 training acc=0.593750, cost=0.586810, test acc=0.616692, cost=0.649862, disagree_f1=0.674283, agree_f1=0.534361, average_f1=0.604322
BATCH 13 training acc=0.625000, cost=0.716735, test acc=0.590563, cost=0.689910, disagree_f1=0.629306, agree_f1=0.542776, average_f1=0.586041
BATCH 14 training acc=0.781250, cost=0.504381, test acc=0.590817, cost=0.691035, disagree_f1=0.629110, agree_f1=0.543706, average_f1=0.586408
BATCH 15 training acc=0.562500, cost=0.700186, test acc=0.607813, cost=0.659165, disagree_f1=0.658569, agree_f1=0.539333, average_f1=0.598951
BATCH 16 training acc=0.656250, cost=0.613428, test acc=0.633435, cost=0.630299, disagree_f1=0.702123, agree_f1=0.523574, average_f1=0.612849
BATCH 17 training acc=0.718750, cost=0.551573, test acc=0.660325, cost=0.635573, disagree_f1=0.748733, agree_f1=0.475930, average_f1=0.612331
BATCH 18 training acc=0.750000, cost=0.597309, test acc=0.674277, cost=0.661606, disagree_f1=0.778085, agree_f1=0.387989, average_f1=0.583037
BATCH 19 training acc=0.750000, cost=0.498797, test acc=0.678336, cost=0.697229, disagree_f1=0.790275, agree_f1=0.310120, average_f1=0.550197
BATCH 20 training acc=0.687500, cost=0.870045, test acc=0.674277, cost=0.697157, disagree_f1=0.792166, agree_f1=0.247362, average_f1=0.519764
BATCH 21 training acc=0.593750, cost=0.976415, test acc=0.671233, cost=0.667576, disagree_f1=0.792706, agree_f1=0.205882, average_f1=0.499294
BATCH 22 training acc=0.781250, cost=0.576452, test acc=0.670218, cost=0.632110, disagree_f1=0.793782, agree_f1=0.177215, average_f1=0.485498
BATCH 23 training acc=0.687500, cost=0.657534, test acc=0.671994, cost=0.601992, disagree_f1=0.795573, agree_f1=0.170622, average_f1=0.483098
BATCH 24 training acc=0.687500, cost=0.552040, test acc=0.671740, cost=0.592926, disagree_f1=0.796092, agree_f1=0.158648, average_f1=0.477370
BATCH 25 training acc=0.656250, cost=0.597331, test acc=0.673262, cost=0.593149, disagree_f1=0.795556, agree_f1=0.186869, average_f1=0.491212
BATCH 26 training acc=0.687500, cost=0.573333, test acc=0.673262, cost=0.597074, disagree_f1=0.795815, agree_f1=0.182741, average_f1=0.489278
BATCH 27 training acc=0.625000, cost=0.663881, test acc=0.679858, cost=0.603844, disagree_f1=0.796189, agree_f1=0.254137, average_f1=0.525163
BATCH 28 training acc=0.625000, cost=0.597867, test acc=0.683409, cost=0.605783, disagree_f1=0.794263, agree_f1=0.313531, average_f1=0.553897
BATCH 29 training acc=0.687500, cost=0.611984, test acc=0.683409, cost=0.602168, disagree_f1=0.794939, agree_f1=0.305895, average_f1=0.550417
BATCH 30 training acc=0.718750, cost=0.618459, test acc=0.683917, cost=0.595858, disagree_f1=0.799162, agree_f1=0.258333, average_f1=0.528748
BATCH 31 training acc=0.750000, cost=0.544090, test acc=0.673009, cost=0.588853, disagree_f1=0.797740, agree_f1=0.146923, average_f1=0.472332
BATCH 32 training acc=0.718750, cost=0.521712, test acc=0.671487, cost=0.587976, disagree_f1=0.800922, agree_f1=0.060914, average_f1=0.430918
BATCH 33 training acc=0.625000, cost=0.641626, test acc=0.666159, cost=0.592358, disagree_f1=0.798777, agree_f1=0.020833, average_f1=0.409805
BATCH 34 training acc=0.656250, cost=0.618124, test acc=0.665906, cost=0.594318, disagree_f1=0.798716, agree_f1=0.017897, average_f1=0.408307
BATCH 35 training acc=0.656250, cost=0.651455, test acc=0.666413, cost=0.592025, disagree_f1=0.798776, agree_f1=0.025204, average_f1=0.411990
BATCH 36 training acc=0.625000, cost=0.610517, test acc=0.668696, cost=0.587482, disagree_f1=0.799139, agree_f1=0.054993, average_f1=0.427066
BATCH 37 training acc=0.656250, cost=0.628611, test acc=0.671233, cost=0.583330, disagree_f1=0.798507, agree_f1=0.107438, average_f1=0.452973
BATCH 38 training acc=0.562500, cost=0.653779, test acc=0.687215, cost=0.582236, disagree_f1=0.802878, agree_f1=0.243094, average_f1=0.522986
BATCH 39 training acc=0.750000, cost=0.497099, test acc=0.697615, cost=0.584406, disagree_f1=0.800535, agree_f1=0.375262, average_f1=0.587899
BATCH 40 training acc=0.718750, cost=0.571622, test acc=0.700660, cost=0.586739, disagree_f1=0.792254, agree_f1=0.464610, average_f1=0.628432
BATCH 41 training acc=0.500000, cost=0.695460, test acc=0.699645, cost=0.589830, disagree_f1=0.786513, agree_f1=0.493584, average_f1=0.640049
