Using GPU: 3...
X_train.shape=(19820, 2, 64), y_train.shape=(19820,);
X_test.shape=(4954, 2, 64), y_test.shape=(4954,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.693453, test acc=0.479612, cost=0.694121, disagree_f1=0.092892, agree_f1=0.635154, average_f1=0.364023
BATCH 2 training acc=0.531250, cost=0.689072, test acc=0.519580, cost=0.692007, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 3 training acc=0.343750, cost=0.729183, test acc=0.480420, cost=0.702861, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 4 training acc=0.500000, cost=0.686914, test acc=0.480420, cost=0.728844, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 5 training acc=0.468750, cost=0.729906, test acc=0.480420, cost=0.705536, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 6 training acc=0.500000, cost=0.681479, test acc=0.485668, cost=0.701343, disagree_f1=0.028963, agree_f1=0.650192, average_f1=0.339578
BATCH 7 training acc=0.312500, cost=0.716070, test acc=0.553896, cost=0.687560, disagree_f1=0.641234, agree_f1=0.410352, average_f1=0.525793
BATCH 8 training acc=0.406250, cost=0.734662, test acc=0.535729, cost=0.714915, disagree_f1=0.676785, agree_f1=0.176218, average_f1=0.426501
BATCH 9 training acc=0.406250, cost=0.795620, test acc=0.524627, cost=0.727507, disagree_f1=0.684443, agree_f1=0.036810, average_f1=0.360627
BATCH 10 training acc=0.531250, cost=0.748995, test acc=0.537344, cost=0.711758, disagree_f1=0.676363, agree_f1=0.188960, average_f1=0.432661
BATCH 11 training acc=0.375000, cost=0.813807, test acc=0.547436, cost=0.690921, disagree_f1=0.665473, agree_f1=0.300686, average_f1=0.483080
BATCH 12 training acc=0.718750, cost=0.662639, test acc=0.549051, cost=0.688026, disagree_f1=0.655990, agree_f1=0.345636, average_f1=0.500813
BATCH 13 training acc=0.562500, cost=0.680323, test acc=0.553896, cost=0.687449, disagree_f1=0.653496, agree_f1=0.373938, average_f1=0.513717
BATCH 14 training acc=0.656250, cost=0.695882, test acc=0.553896, cost=0.687394, disagree_f1=0.641117, agree_f1=0.410667, average_f1=0.525892
BATCH 15 training acc=0.531250, cost=0.694545, test acc=0.554501, cost=0.687417, disagree_f1=0.640846, agree_f1=0.413500, average_f1=0.527173
BATCH 16 training acc=0.437500, cost=0.705958, test acc=0.554300, cost=0.687511, disagree_f1=0.644330, agree_f1=0.403243, average_f1=0.523787
BATCH 17 training acc=0.343750, cost=0.743215, test acc=0.552483, cost=0.688218, disagree_f1=0.641668, agree_f1=0.404192, average_f1=0.522930
BATCH 18 training acc=0.562500, cost=0.684721, test acc=0.551070, cost=0.688916, disagree_f1=0.633970, agree_f1=0.419624, average_f1=0.526797
