Using GPU: 2...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.281250, cost=1.102421, test acc=0.233476, cost=1.056137, disagree_f1=0.378566, neural_f1=0.000000, agree_f1=0.000000, average_f1=0.126189
BATCH 2 training acc=0.500000, cost=1.037730, test acc=0.233476, cost=1.030378, disagree_f1=0.378566, neural_f1=0.000000, agree_f1=0.000000, average_f1=0.126189
BATCH 3 training acc=0.375000, cost=1.087579, test acc=0.233476, cost=1.028678, disagree_f1=0.378566, neural_f1=0.000000, agree_f1=0.000000, average_f1=0.126189
BATCH 4 training acc=0.281250, cost=1.111090, test acc=0.234278, cost=0.987955, disagree_f1=0.377960, neural_f1=0.005464, agree_f1=0.000000, average_f1=0.127808
BATCH 5 training acc=0.375000, cost=1.041133, test acc=0.399964, cost=0.976271, disagree_f1=0.432391, neural_f1=0.415681, agree_f1=0.000000, average_f1=0.282691
BATCH 6 training acc=0.468750, cost=0.962282, test acc=0.605915, cost=0.957303, disagree_f1=0.536754, neural_f1=0.727580, agree_f1=0.000000, average_f1=0.421444
BATCH 7 training acc=0.375000, cost=0.907605, test acc=0.681454, cost=0.920819, disagree_f1=0.523897, neural_f1=0.827241, agree_f1=0.406721, average_f1=0.585953
BATCH 8 training acc=0.625000, cost=0.817964, test acc=0.672813, cost=0.842320, disagree_f1=0.387760, neural_f1=0.859547, agree_f1=0.400635, average_f1=0.549314
BATCH 9 training acc=0.500000, cost=0.841545, test acc=0.736594, cost=0.711806, disagree_f1=0.530138, neural_f1=0.896139, agree_f1=0.410476, average_f1=0.612251
BATCH 10 training acc=0.625000, cost=0.759733, test acc=0.774719, cost=0.586562, disagree_f1=0.519151, neural_f1=0.927947, agree_f1=0.442764, average_f1=0.629954
BATCH 11 training acc=0.625000, cost=0.673008, test acc=0.806699, cost=0.513819, disagree_f1=0.663482, neural_f1=0.931900, agree_f1=0.360902, average_f1=0.652095
BATCH 12 training acc=0.562500, cost=0.634522, test acc=0.809460, cost=0.490202, disagree_f1=0.653495, neural_f1=0.934028, agree_f1=0.363355, average_f1=0.650293
BATCH 13 training acc=0.750000, cost=1.003145, test acc=0.816141, cost=0.486952, disagree_f1=0.678455, neural_f1=0.933368, agree_f1=0.330123, average_f1=0.647315
BATCH 14 training acc=0.625000, cost=0.835774, test acc=0.817923, cost=0.487904, disagree_f1=0.686310, neural_f1=0.933605, agree_f1=0.323792, average_f1=0.647902
BATCH 15 training acc=0.656250, cost=0.707874, test acc=0.813647, cost=0.489899, disagree_f1=0.669435, neural_f1=0.934362, agree_f1=0.355268, average_f1=0.653022
