BATCH 26 training acc=0.656250, cost=0.651611, test acc=0.742027, cost=0.619300, disagree_f1=0.664141, neural_f1=0.879817, agree_f1=0.311058, average_f1=0.618339
BATCH 27 training acc=0.593750, cost=0.659524, test acc=0.767148, cost=0.572942, disagree_f1=0.669290, neural_f1=0.901849, agree_f1=0.327753, average_f1=0.632964
BATCH 28 training acc=0.875000, cost=0.457272, test acc=0.783360, cost=0.541192, disagree_f1=0.678421, neural_f1=0.914846, agree_f1=0.333108, average_f1=0.642125
BATCH 29 training acc=0.593750, cost=0.841834, test acc=0.793248, cost=0.527281, disagree_f1=0.677839, neural_f1=0.922747, agree_f1=0.355147, average_f1=0.651911
BATCH 30 training acc=0.687500, cost=0.599136, test acc=0.799394, cost=0.518180, disagree_f1=0.676788, neural_f1=0.927295, agree_f1=0.368348, average_f1=0.657477
BATCH 31 training acc=0.531250, cost=0.748687, test acc=0.803759, cost=0.509375, disagree_f1=0.667350, neural_f1=0.931855, agree_f1=0.379526, average_f1=0.659577
BATCH 32 training acc=0.562500, cost=0.826173, test acc=0.797078, cost=0.518753, disagree_f1=0.630197, neural_f1=0.932409, agree_f1=0.408099, average_f1=0.656902
BATCH 33 training acc=0.750000, cost=0.669254, test acc=0.793248, cost=0.529486, disagree_f1=0.592765, neural_f1=0.933893, agree_f1=0.435498, average_f1=0.654052
BATCH 34 training acc=0.593750, cost=0.706550, test acc=0.787280, cost=0.542848, disagree_f1=0.560389, neural_f1=0.933857, agree_f1=0.444010, average_f1=0.646085
BATCH 35 training acc=0.718750, cost=0.562202, test acc=0.781489, cost=0.547843, disagree_f1=0.518538, neural_f1=0.933694, agree_f1=0.457233, average_f1=0.636488
BATCH 36 training acc=0.625000, cost=0.890080, test acc=0.780510, cost=0.547522, disagree_f1=0.508854, neural_f1=0.933991, agree_f1=0.458147, average_f1=0.633664
BATCH 37 training acc=0.531250, cost=0.774688, test acc=0.776056, cost=0.554461, disagree_f1=0.493527, neural_f1=0.933487, agree_f1=0.454522, average_f1=0.627179
BATCH 38 training acc=0.656250, cost=0.713113, test acc=0.757616, cost=0.573761, disagree_f1=0.415666, neural_f1=0.929543, agree_f1=0.452210, average_f1=0.599140
BATCH 39 training acc=0.500000, cost=0.921106, test acc=0.728844, cost=0.608232, disagree_f1=0.360192, neural_f1=0.915821, agree_f1=0.429783, average_f1=0.568599
BATCH 40 training acc=0.781250, cost=0.603545, test acc=0.738732, cost=0.617628, disagree_f1=0.496588, neural_f1=0.906825, agree_f1=0.417441, average_f1=0.606952
BATCH 41 training acc=0.562500, cost=0.780022, test acc=0.740869, cost=0.634408, disagree_f1=0.586679, neural_f1=0.895393, agree_f1=0.391232, average_f1=0.624435
BATCH 42 training acc=0.562500, cost=0.756550, test acc=0.745412, cost=0.643185, disagree_f1=0.648224, neural_f1=0.888258, agree_f1=0.339967, average_f1=0.625483
BATCH 43 training acc=0.625000, cost=0.736186, test acc=0.755746, cost=0.626321, disagree_f1=0.669145, neural_f1=0.892640, agree_f1=0.320073, average_f1=0.627286
BATCH 44 training acc=0.500000, cost=0.834177, test acc=0.772136, cost=0.600950, disagree_f1=0.692239, neural_f1=0.900609, agree_f1=0.310487, average_f1=0.634445
BATCH 45 training acc=0.531250, cost=1.083227, test acc=0.786122, cost=0.574946, disagree_f1=0.700143, neural_f1=0.910590, agree_f1=0.306373, average_f1=0.639036
BATCH 46 training acc=0.718750, cost=0.579627, test acc=0.809104, cost=0.535275, disagree_f1=0.714312, neural_f1=0.928733, agree_f1=0.317600, average_f1=0.653549
BATCH 47 training acc=0.531250, cost=0.807867, test acc=0.816319, cost=0.512532, disagree_f1=0.708349, neural_f1=0.934762, agree_f1=0.336585, average_f1=0.659899
BATCH 48 training acc=0.625000, cost=0.717998, test acc=0.816765, cost=0.502921, disagree_f1=0.696607, neural_f1=0.935760, agree_f1=0.359015, average_f1=0.663794
BATCH 49 training acc=0.656250, cost=0.635504, test acc=0.812222, cost=0.502395, disagree_f1=0.672534, neural_f1=0.936256, agree_f1=0.380846, average_f1=0.663212
BATCH 50 training acc=0.875000, cost=0.459990, test acc=0.812311, cost=0.496365, disagree_f1=0.662737, neural_f1=0.936658, agree_f1=0.401006, average_f1=0.666800
BATCH 51 training acc=0.593750, cost=0.788905, test acc=0.805808, cost=0.505434, disagree_f1=0.646355, neural_f1=0.934448, agree_f1=0.417960, average_f1=0.666254
BATCH 52 training acc=0.718750, cost=0.598627, test acc=0.792892, cost=0.521500, disagree_f1=0.616047, neural_f1=0.930663, agree_f1=0.422871, average_f1=0.656527
BATCH 53 training acc=0.656250, cost=0.615050, test acc=0.783895, cost=0.542980, disagree_f1=0.612962, neural_f1=0.925093, agree_f1=0.420493, average_f1=0.652849
BATCH 54 training acc=0.718750, cost=0.553855, test acc=0.770444, cost=0.570796, disagree_f1=0.616954, neural_f1=0.914747, agree_f1=0.407895, average_f1=0.646532
BATCH 55 training acc=0.687500, cost=0.759452, test acc=0.758863, cost=0.590210, disagree_f1=0.630040, neural_f1=0.904963, agree_f1=0.386473, average_f1=0.640492
BATCH 56 training acc=0.687500, cost=0.583021, test acc=0.758774, cost=0.596613, disagree_f1=0.663439, neural_f1=0.898486, agree_f1=0.371182, average_f1=0.644369
BATCH 57 training acc=0.593750, cost=0.723787, test acc=0.765366, cost=0.594375, disagree_f1=0.694264, neural_f1=0.897971, agree_f1=0.347309, average_f1=0.646515
BATCH 58 training acc=0.812500, cost=0.718344, test acc=0.776679, cost=0.574967, disagree_f1=0.709978, neural_f1=0.904735, agree_f1=0.314396, average_f1=0.643036
BATCH 59 training acc=0.625000, cost=0.844153, test acc=0.781400, cost=0.569339, disagree_f1=0.713452, neural_f1=0.907964, agree_f1=0.301913, average_f1=0.641110
BATCH 60 training acc=0.656250, cost=0.654935, test acc=0.788705, cost=0.556522, disagree_f1=0.716226, neural_f1=0.912985, agree_f1=0.289406, average_f1=0.639539
BATCH 61 training acc=0.687500, cost=0.654763, test acc=0.798503, cost=0.539212, disagree_f1=0.721974, neural_f1=0.919751, agree_f1=0.289945, average_f1=0.643890
BATCH 62 training acc=0.687500, cost=0.754711, test acc=0.805006, cost=0.522587, disagree_f1=0.721702, neural_f1=0.924336, agree_f1=0.298592, average_f1=0.648210
BATCH 63 training acc=0.656250, cost=0.797031, test acc=0.811064, cost=0.510260, disagree_f1=0.721456, neural_f1=0.927858, agree_f1=0.328000, average_f1=0.659105
BATCH 64 training acc=0.562500, cost=1.000330, test acc=0.811509, cost=0.508410, disagree_f1=0.712679, neural_f1=0.929618, agree_f1=0.363024, average_f1=0.668440
BATCH 65 training acc=0.625000, cost=0.860464, test acc=0.801265, cost=0.530065, disagree_f1=0.677007, neural_f1=0.927035, agree_f1=0.420857, average_f1=0.674966
BATCH 66 training acc=0.687500, cost=0.725730, test acc=0.777926, cost=0.559400, disagree_f1=0.602019, neural_f1=0.921618, agree_f1=0.437581, average_f1=0.653739
BATCH 67 training acc=0.625000, cost=0.793079, test acc=0.767237, cost=0.562946, disagree_f1=0.523933, neural_f1=0.923141, agree_f1=0.455648, average_f1=0.634241
BATCH 68 training acc=0.562500, cost=0.641872, test acc=0.759576, cost=0.554542, disagree_f1=0.458599, neural_f1=0.925944, agree_f1=0.455423, average_f1=0.613322
