BATCH 25 training acc=0.625000, cost=0.871786, test acc=0.665420, cost=0.759889, disagree_f1=0.275384, neural_f1=0.877460, agree_f1=0.385834, average_f1=0.512893
BATCH 26 training acc=0.687500, cost=0.728857, test acc=0.674773, cost=0.808556, disagree_f1=0.468477, neural_f1=0.854428, agree_f1=0.384179, average_f1=0.569028
BATCH 27 training acc=0.625000, cost=0.586142, test acc=0.677623, cost=0.827409, disagree_f1=0.570191, neural_f1=0.838680, agree_f1=0.353542, average_f1=0.587471
BATCH 28 training acc=0.593750, cost=0.837469, test acc=0.688135, cost=0.847137, disagree_f1=0.687296, neural_f1=0.824627, agree_f1=0.241441, average_f1=0.584455
BATCH 29 training acc=0.781250, cost=0.564774, test acc=0.675485, cost=0.876491, disagree_f1=0.689724, neural_f1=0.810350, agree_f1=0.213042, average_f1=0.571039
BATCH 30 training acc=0.781250, cost=0.754015, test acc=0.685017, cost=0.838123, disagree_f1=0.696604, neural_f1=0.817801, agree_f1=0.196767, average_f1=0.570391
BATCH 31 training acc=0.562500, cost=0.785067, test acc=0.707287, cost=0.759782, disagree_f1=0.699323, neural_f1=0.840871, agree_f1=0.195864, average_f1=0.578686
BATCH 32 training acc=0.500000, cost=0.849373, test acc=0.732941, cost=0.688661, disagree_f1=0.706445, neural_f1=0.865340, agree_f1=0.211075, average_f1=0.594286
BATCH 33 training acc=0.718750, cost=0.837696, test acc=0.754320, cost=0.627601, disagree_f1=0.710406, neural_f1=0.884965, agree_f1=0.224696, average_f1=0.606689
BATCH 34 training acc=0.593750, cost=0.888489, test acc=0.776323, cost=0.577318, disagree_f1=0.717175, neural_f1=0.905663, agree_f1=0.238406, average_f1=0.620415
BATCH 35 training acc=0.750000, cost=0.562214, test acc=0.798503, cost=0.531579, disagree_f1=0.714312, neural_f1=0.923322, agree_f1=0.278422, average_f1=0.638685
BATCH 36 training acc=0.625000, cost=0.711382, test acc=0.813023, cost=0.493658, disagree_f1=0.699437, neural_f1=0.934170, agree_f1=0.324324, average_f1=0.652644
BATCH 37 training acc=0.562500, cost=0.911794, test acc=0.813736, cost=0.481853, disagree_f1=0.673140, neural_f1=0.935160, agree_f1=0.368932, average_f1=0.659077
BATCH 38 training acc=0.562500, cost=0.875278, test acc=0.802957, cost=0.487261, disagree_f1=0.602886, neural_f1=0.934778, agree_f1=0.427390, average_f1=0.655018
BATCH 39 training acc=0.718750, cost=0.585639, test acc=0.802868, cost=0.488763, disagree_f1=0.587870, neural_f1=0.934571, agree_f1=0.444661, average_f1=0.655701
BATCH 40 training acc=0.687500, cost=0.613355, test acc=0.805095, cost=0.485995, disagree_f1=0.606145, neural_f1=0.934218, agree_f1=0.425327, average_f1=0.655230
BATCH 41 training acc=0.593750, cost=0.698885, test acc=0.810975, cost=0.483801, disagree_f1=0.644112, neural_f1=0.934132, agree_f1=0.394100, average_f1=0.657448
BATCH 42 training acc=0.750000, cost=0.673444, test acc=0.818546, cost=0.487648, disagree_f1=0.685391, neural_f1=0.934831, agree_f1=0.354825, average_f1=0.658349
BATCH 43 training acc=0.625000, cost=0.639909, test acc=0.817299, cost=0.505759, disagree_f1=0.693935, neural_f1=0.934427, agree_f1=0.352797, average_f1=0.660386
BATCH 44 training acc=0.812500, cost=0.678479, test acc=0.805808, cost=0.549338, disagree_f1=0.683350, neural_f1=0.930809, agree_f1=0.369001, average_f1=0.661053
BATCH 45 training acc=0.718750, cost=0.636334, test acc=0.780866, cost=0.591446, disagree_f1=0.649544, neural_f1=0.918335, agree_f1=0.383304, average_f1=0.650394
BATCH 46 training acc=0.781250, cost=0.546357, test acc=0.772938, cost=0.600827, disagree_f1=0.624889, neural_f1=0.915750, agree_f1=0.398141, average_f1=0.646260
BATCH 47 training acc=0.687500, cost=0.756496, test acc=0.769107, cost=0.598661, disagree_f1=0.576320, neural_f1=0.919111, agree_f1=0.424351, average_f1=0.639927
BATCH 48 training acc=0.718750, cost=0.680637, test acc=0.768662, cost=0.592978, disagree_f1=0.527461, neural_f1=0.924498, agree_f1=0.441721, average_f1=0.631227
BATCH 49 training acc=0.656250, cost=0.699776, test acc=0.773383, cost=0.581350, disagree_f1=0.509100, neural_f1=0.929577, agree_f1=0.454774, average_f1=0.631151
BATCH 50 training acc=0.656250, cost=0.781318, test acc=0.776946, cost=0.569864, disagree_f1=0.515746, neural_f1=0.931387, agree_f1=0.457099, average_f1=0.634744
BATCH 51 training acc=0.593750, cost=0.835901, test acc=0.783627, cost=0.543071, disagree_f1=0.536573, neural_f1=0.933487, agree_f1=0.451840, average_f1=0.640633
BATCH 52 training acc=0.812500, cost=0.520287, test acc=0.789150, cost=0.520068, disagree_f1=0.547761, neural_f1=0.935217, agree_f1=0.452481, average_f1=0.645153
BATCH 53 training acc=0.718750, cost=0.663513, test acc=0.789507, cost=0.511278, disagree_f1=0.549728, neural_f1=0.934929, agree_f1=0.451613, average_f1=0.645423
BATCH 54 training acc=0.718750, cost=0.668736, test acc=0.790130, cost=0.513747, disagree_f1=0.561514, neural_f1=0.934559, agree_f1=0.452670, average_f1=0.649581
BATCH 55 training acc=0.718750, cost=0.604814, test acc=0.794851, cost=0.514651, disagree_f1=0.600046, neural_f1=0.933315, agree_f1=0.444379, average_f1=0.659247
BATCH 56 training acc=0.562500, cost=1.081377, test acc=0.793782, cost=0.527855, disagree_f1=0.637619, neural_f1=0.926396, agree_f1=0.430732, average_f1=0.664915
BATCH 57 training acc=0.781250, cost=0.550836, test acc=0.792268, cost=0.538038, disagree_f1=0.655957, neural_f1=0.921419, agree_f1=0.425130, average_f1=0.667502
BATCH 58 training acc=0.625000, cost=0.685322, test acc=0.791199, cost=0.535988, disagree_f1=0.665590, neural_f1=0.920329, agree_f1=0.403032, average_f1=0.662984
BATCH 59 training acc=0.718750, cost=0.598854, test acc=0.793070, cost=0.529502, disagree_f1=0.665991, neural_f1=0.921405, agree_f1=0.409593, average_f1=0.665663
BATCH 60 training acc=0.593750, cost=0.698040, test acc=0.788170, cost=0.532328, disagree_f1=0.646623, neural_f1=0.920221, agree_f1=0.428571, average_f1=0.665138
BATCH 61 training acc=0.562500, cost=0.771881, test acc=0.786211, cost=0.524577, disagree_f1=0.625711, neural_f1=0.922735, agree_f1=0.433161, average_f1=0.660536
BATCH 62 training acc=0.812500, cost=0.411167, test acc=0.796633, cost=0.509523, disagree_f1=0.640815, neural_f1=0.927788, agree_f1=0.442313, average_f1=0.670305
BATCH 63 training acc=0.593750, cost=0.857661, test acc=0.805363, cost=0.494708, disagree_f1=0.668612, neural_f1=0.929699, agree_f1=0.431347, average_f1=0.676553
BATCH 64 training acc=0.718750, cost=0.549470, test acc=0.805006, cost=0.495299, disagree_f1=0.679017, neural_f1=0.928281, agree_f1=0.413329, average_f1=0.673542
BATCH 65 training acc=0.781250, cost=0.485123, test acc=0.806253, cost=0.496546, disagree_f1=0.691691, neural_f1=0.926586, agree_f1=0.404040, average_f1=0.674106
BATCH 66 training acc=0.562500, cost=0.731260, test acc=0.802868, cost=0.504796, disagree_f1=0.690293, neural_f1=0.924241, agree_f1=0.407133, average_f1=0.673889
BATCH 67 training acc=0.656250, cost=0.788480, test acc=0.804650, cost=0.504843, disagree_f1=0.698988, neural_f1=0.923932, agree_f1=0.402602, average_f1=0.675174
BATCH 68 training acc=0.750000, cost=0.650042, test acc=0.792713, cost=0.519261, disagree_f1=0.683143, neural_f1=0.914744, agree_f1=0.410860, average_f1=0.669583
BATCH 69 training acc=0.718750, cost=0.702551, test acc=0.795386, cost=0.517419, disagree_f1=0.680056, neural_f1=0.919698, agree_f1=0.416745, average_f1=0.672166
BATCH 70 training acc=0.562500, cost=0.826544, test acc=0.798236, cost=0.512684, disagree_f1=0.677214, neural_f1=0.923409, agree_f1=0.423208, average_f1=0.674610
BATCH 71 training acc=0.625000, cost=0.850581, test acc=0.796455, cost=0.519821, disagree_f1=0.677625, neural_f1=0.921797, agree_f1=0.425519, average_f1=0.674980
BATCH 72 training acc=0.812500, cost=0.495680, test acc=0.797524, cost=0.520438, disagree_f1=0.684444, neural_f1=0.921356, agree_f1=0.418517, average_f1=0.674773
BATCH 73 training acc=0.531250, cost=0.938413, test acc=0.801265, cost=0.515863, disagree_f1=0.686259, neural_f1=0.924363, agree_f1=0.421519, average_f1=0.677380
BATCH 74 training acc=0.750000, cost=0.541943, test acc=0.814092, cost=0.494280, disagree_f1=0.699920, neural_f1=0.930791, agree_f1=0.423302, average_f1=0.684671
BATCH 75 training acc=0.687500, cost=0.790372, test acc=0.820061, cost=0.483181, disagree_f1=0.698361, neural_f1=0.934611, agree_f1=0.432606, average_f1=0.688526
BATCH 76 training acc=0.750000, cost=0.561902, test acc=0.816230, cost=0.489455, disagree_f1=0.686234, neural_f1=0.934095, agree_f1=0.436963, average_f1=0.685764
BATCH 77 training acc=0.562500, cost=0.715171, test acc=0.805095, cost=0.506144, disagree_f1=0.657055, neural_f1=0.930806, agree_f1=0.449893, average_f1=0.679251
BATCH 78 training acc=0.781250, cost=0.595177, test acc=0.783984, cost=0.533465, disagree_f1=0.589756, neural_f1=0.926141, agree_f1=0.457787, average_f1=0.657895
BATCH 79 training acc=0.812500, cost=0.511229, test acc=0.764386, cost=0.563445, disagree_f1=0.516801, neural_f1=0.921640, agree_f1=0.458655, average_f1=0.632365
BATCH 80 training acc=0.593750, cost=0.871451, test acc=0.758774, cost=0.572587, disagree_f1=0.495740, neural_f1=0.920400, agree_f1=0.456804, average_f1=0.624315
