Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.406250, cost=0.704787, test acc=0.488396, cost=0.776231, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 2 training acc=0.375000, cost=0.854460, test acc=0.488396, cost=0.721731, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 3 training acc=0.468750, cost=0.724228, test acc=0.520283, cost=0.692007, disagree_f1=0.627137, agree_f1=0.327581, average_f1=0.477359
BATCH 4 training acc=0.531250, cost=0.693862, test acc=0.512815, cost=0.702218, disagree_f1=0.676841, agree_f1=0.010656, average_f1=0.343748
BATCH 5 training acc=0.562500, cost=0.671110, test acc=0.511604, cost=0.722309, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 6 training acc=0.375000, cost=0.803344, test acc=0.512412, cost=0.707564, disagree_f1=0.677092, agree_f1=0.004942, average_f1=0.341017
BATCH 7 training acc=0.468750, cost=0.723095, test acc=0.528759, cost=0.692310, disagree_f1=0.671173, agree_f1=0.168743, average_f1=0.419958
BATCH 8 training acc=0.437500, cost=0.695843, test acc=0.493239, cost=0.692189, disagree_f1=0.236082, agree_f1=0.620867, average_f1=0.428474
BATCH 9 training acc=0.562500, cost=0.689219, test acc=0.488396, cost=0.713242, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 10 training acc=0.437500, cost=0.727727, test acc=0.488396, cost=0.720229, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 11 training acc=0.500000, cost=0.714777, test acc=0.488396, cost=0.714355, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 12 training acc=0.250000, cost=0.796705, test acc=0.488396, cost=0.700012, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 13 training acc=0.562500, cost=0.694388, test acc=0.490212, cost=0.692752, disagree_f1=0.038081, agree_f1=0.653213, average_f1=0.345647
BATCH 14 training acc=0.375000, cost=0.704542, test acc=0.548133, cost=0.689170, disagree_f1=0.635401, agree_f1=0.405943, average_f1=0.520672
BATCH 15 training acc=0.500000, cost=0.697137, test acc=0.544501, cost=0.689652, disagree_f1=0.663486, agree_f1=0.295348, average_f1=0.479417
BATCH 16 training acc=0.500000, cost=0.694840, test acc=0.531181, cost=0.691221, disagree_f1=0.674239, agree_f1=0.164088, average_f1=0.419164
BATCH 17 training acc=0.656250, cost=0.655136, test acc=0.511604, cost=0.694640, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 18 training acc=0.437500, cost=0.690712, test acc=0.511604, cost=0.697809, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 19 training acc=0.406250, cost=0.727081, test acc=0.511806, cost=0.696176, disagree_f1=0.676907, agree_f1=0.001651, average_f1=0.339279
