Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.718750, cost=0.639673, test acc=0.662128, cost=2.310334, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 2 training acc=0.562500, cost=3.130287, test acc=0.662128, cost=1.666044, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 3 training acc=0.718750, cost=1.378830, test acc=0.662128, cost=1.001369, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 4 training acc=0.656250, cost=0.950332, test acc=0.662128, cost=0.668411, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 5 training acc=0.656250, cost=0.824741, test acc=0.543830, cost=0.686534, disagree_f1=0.622003, agree_f1=0.424893, average_f1=0.523448
BATCH 6 training acc=0.562500, cost=0.781378, test acc=0.422128, cost=0.727766, disagree_f1=0.345227, agree_f1=0.482864, average_f1=0.414045
BATCH 7 training acc=0.593750, cost=0.699322, test acc=0.570213, cost=0.682935, disagree_f1=0.622853, agree_f1=0.500495, average_f1=0.561674
BATCH 8 training acc=0.593750, cost=0.665410, test acc=0.673191, cost=0.638466, disagree_f1=0.789704, agree_f1=0.267176, average_f1=0.528440
BATCH 9 training acc=0.625000, cost=0.647678, test acc=0.664681, cost=0.626362, disagree_f1=0.797949, agree_f1=0.015000, average_f1=0.406474
BATCH 10 training acc=0.593750, cost=0.652332, test acc=0.662128, cost=0.627056, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 11 training acc=0.656250, cost=0.647123, test acc=0.662128, cost=0.631828, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 12 training acc=0.656250, cost=0.635887, test acc=0.662128, cost=0.626927, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 13 training acc=0.593750, cost=0.724911, test acc=0.662128, cost=0.632277, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 14 training acc=0.750000, cost=0.547765, test acc=0.662128, cost=0.645385, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 15 training acc=0.656250, cost=0.656964, test acc=0.662128, cost=0.665713, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 16 training acc=0.593750, cost=0.775889, test acc=0.662128, cost=0.675690, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 17 training acc=0.625000, cost=0.683833, test acc=0.662128, cost=0.678871, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 18 training acc=0.625000, cost=0.772489, test acc=0.662128, cost=0.669564, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 19 training acc=0.656250, cost=0.602634, test acc=0.662128, cost=0.653090, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 20 training acc=0.625000, cost=0.710235, test acc=0.662128, cost=0.643689, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 21 training acc=0.593750, cost=0.705436, test acc=0.662128, cost=0.634143, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 22 training acc=0.531250, cost=0.878019, test acc=0.662128, cost=0.630442, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 23 training acc=0.500000, cost=0.741370, test acc=0.662128, cost=0.638314, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
