BATCH 26 training acc=0.437500, cost=1.429742, test acc=0.756102, cost=0.649304, disagree_f1=0.673827, neural_f1=0.889963, agree_f1=0.290193, average_f1=0.617994
BATCH 27 training acc=0.687500, cost=0.611149, test acc=0.739533, cost=0.639939, disagree_f1=0.557035, neural_f1=0.895456, agree_f1=0.397885, average_f1=0.616792
BATCH 28 training acc=0.593750, cost=0.706736, test acc=0.728309, cost=0.629962, disagree_f1=0.451465, neural_f1=0.901305, agree_f1=0.422338, average_f1=0.591702
BATCH 29 training acc=0.625000, cost=0.799810, test acc=0.684661, cost=0.637170, disagree_f1=0.039159, neural_f1=0.913870, agree_f1=0.406679, average_f1=0.453236
BATCH 30 training acc=0.625000, cost=0.625065, test acc=0.688758, cost=0.640890, disagree_f1=0.030939, neural_f1=0.917832, agree_f1=0.407905, average_f1=0.452225
BATCH 31 training acc=0.625000, cost=0.645923, test acc=0.693390, cost=0.632742, disagree_f1=0.047307, neural_f1=0.920228, agree_f1=0.410741, average_f1=0.459425
BATCH 32 training acc=0.593750, cost=0.903513, test acc=0.699270, cost=0.618177, disagree_f1=0.105739, neural_f1=0.920600, agree_f1=0.412459, average_f1=0.479599
BATCH 33 training acc=0.625000, cost=0.835837, test acc=0.736505, cost=0.599018, disagree_f1=0.394279, neural_f1=0.920128, agree_f1=0.419340, average_f1=0.577916
BATCH 34 training acc=0.750000, cost=0.736480, test acc=0.770355, cost=0.575701, disagree_f1=0.559150, neural_f1=0.922811, agree_f1=0.425234, average_f1=0.635732
BATCH 35 training acc=0.625000, cost=0.901509, test acc=0.776145, cost=0.554184, disagree_f1=0.579873, neural_f1=0.923998, agree_f1=0.418236, average_f1=0.640703
BATCH 36 training acc=0.468750, cost=0.919484, test acc=0.788794, cost=0.532419, disagree_f1=0.611770, neural_f1=0.928547, agree_f1=0.416398, average_f1=0.652238
BATCH 37 training acc=0.593750, cost=1.004707, test acc=0.795386, cost=0.525350, disagree_f1=0.639788, neural_f1=0.928469, agree_f1=0.407453, average_f1=0.658570
BATCH 38 training acc=0.656250, cost=0.731309, test acc=0.798325, cost=0.532869, disagree_f1=0.667225, neural_f1=0.927376, agree_f1=0.382614, average_f1=0.659072
BATCH 39 training acc=0.718750, cost=0.653383, test acc=0.799127, cost=0.534943, disagree_f1=0.672192, neural_f1=0.927009, agree_f1=0.378758, average_f1=0.659320
BATCH 40 training acc=0.625000, cost=0.732725, test acc=0.796187, cost=0.542724, disagree_f1=0.667782, neural_f1=0.925850, agree_f1=0.381169, average_f1=0.658267
BATCH 41 training acc=0.562500, cost=0.768452, test acc=0.785587, cost=0.562635, disagree_f1=0.644614, neural_f1=0.921726, agree_f1=0.396465, average_f1=0.654268
BATCH 42 training acc=0.718750, cost=0.599361, test acc=0.783716, cost=0.567170, disagree_f1=0.630546, neural_f1=0.922110, agree_f1=0.405739, average_f1=0.652798
BATCH 43 training acc=0.562500, cost=0.816977, test acc=0.786478, cost=0.560716, disagree_f1=0.619145, neural_f1=0.925387, agree_f1=0.413793, average_f1=0.652775
BATCH 44 training acc=0.687500, cost=0.713643, test acc=0.787903, cost=0.553970, disagree_f1=0.590866, neural_f1=0.930236, agree_f1=0.426644, average_f1=0.649249
BATCH 45 training acc=0.750000, cost=0.602478, test acc=0.786745, cost=0.554601, disagree_f1=0.577384, neural_f1=0.930957, agree_f1=0.430236, average_f1=0.646192
BATCH 46 training acc=0.625000, cost=0.645622, test acc=0.786122, cost=0.554539, disagree_f1=0.574994, neural_f1=0.930668, agree_f1=0.431161, average_f1=0.645608
BATCH 47 training acc=0.656250, cost=0.761271, test acc=0.786656, cost=0.550411, disagree_f1=0.584732, neural_f1=0.930308, agree_f1=0.426408, average_f1=0.647149
BATCH 48 training acc=0.687500, cost=0.735329, test acc=0.789596, cost=0.545219, disagree_f1=0.601065, neural_f1=0.930001, agree_f1=0.427618, average_f1=0.652895
BATCH 49 training acc=0.687500, cost=0.936579, test acc=0.794762, cost=0.539726, disagree_f1=0.636484, neural_f1=0.928855, agree_f1=0.417174, average_f1=0.660838
BATCH 50 training acc=0.687500, cost=0.656808, test acc=0.805095, cost=0.528969, disagree_f1=0.677314, neural_f1=0.929197, agree_f1=0.404184, average_f1=0.670232
