BATCH 25 training acc=0.625000, cost=0.767495, test acc=0.749065, cost=0.591749, disagree_f1=0.625164, neural_f1=0.902870, agree_f1=0.344986, average_f1=0.624340
BATCH 26 training acc=0.437500, cost=1.179761, test acc=0.783093, cost=0.536915, disagree_f1=0.625493, neural_f1=0.927034, agree_f1=0.372496, average_f1=0.641674
BATCH 27 training acc=0.593750, cost=0.837491, test acc=0.793070, cost=0.521547, disagree_f1=0.628870, neural_f1=0.932202, agree_f1=0.378793, average_f1=0.646622
BATCH 28 training acc=0.593750, cost=0.922334, test acc=0.796633, cost=0.517175, disagree_f1=0.649153, neural_f1=0.931982, agree_f1=0.369637, average_f1=0.650257
BATCH 29 training acc=0.531250, cost=1.033277, test acc=0.791466, cost=0.521337, disagree_f1=0.653490, neural_f1=0.928194, agree_f1=0.362119, average_f1=0.647934
BATCH 30 training acc=0.593750, cost=0.757709, test acc=0.778817, cost=0.540614, disagree_f1=0.660033, neural_f1=0.919908, agree_f1=0.341095, average_f1=0.640345
BATCH 31 training acc=0.718750, cost=0.728970, test acc=0.763852, cost=0.565740, disagree_f1=0.672201, neural_f1=0.906604, agree_f1=0.317606, average_f1=0.632137
BATCH 32 training acc=0.718750, cost=0.658130, test acc=0.754766, cost=0.585008, disagree_f1=0.675892, neural_f1=0.898150, agree_f1=0.307305, average_f1=0.627116
BATCH 33 training acc=0.656250, cost=0.648491, test acc=0.757260, cost=0.584378, disagree_f1=0.674756, neural_f1=0.899382, agree_f1=0.312162, average_f1=0.628767
BATCH 34 training acc=0.718750, cost=0.604774, test acc=0.766702, cost=0.570376, disagree_f1=0.676832, neural_f1=0.906281, agree_f1=0.318452, average_f1=0.633855
BATCH 35 training acc=0.687500, cost=0.659630, test acc=0.784518, cost=0.544139, disagree_f1=0.678313, neural_f1=0.919376, agree_f1=0.343109, average_f1=0.646933
BATCH 36 training acc=0.750000, cost=0.707775, test acc=0.788616, cost=0.536179, disagree_f1=0.678089, neural_f1=0.921910, agree_f1=0.350945, average_f1=0.650314
BATCH 37 training acc=0.687500, cost=0.660489, test acc=0.792892, cost=0.530151, disagree_f1=0.682055, neural_f1=0.923290, agree_f1=0.357798, average_f1=0.654381
BATCH 38 training acc=0.625000, cost=0.581722, test acc=0.788438, cost=0.538078, disagree_f1=0.678000, neural_f1=0.920440, agree_f1=0.361102, average_f1=0.653181
BATCH 39 training acc=0.750000, cost=0.557516, test acc=0.796455, cost=0.525271, disagree_f1=0.684518, neural_f1=0.923854, agree_f1=0.371447, average_f1=0.659940
BATCH 40 training acc=0.687500, cost=0.653579, test acc=0.801087, cost=0.517278, disagree_f1=0.691652, neural_f1=0.925727, agree_f1=0.366839, average_f1=0.661406
BATCH 41 training acc=0.656250, cost=0.552091, test acc=0.804026, cost=0.509981, disagree_f1=0.693724, neural_f1=0.927238, agree_f1=0.367102, average_f1=0.662688
BATCH 42 training acc=0.656250, cost=0.741379, test acc=0.801799, cost=0.513965, disagree_f1=0.688348, neural_f1=0.926725, agree_f1=0.369986, average_f1=0.661686
BATCH 43 training acc=0.812500, cost=0.559267, test acc=0.795742, cost=0.521684, disagree_f1=0.670777, neural_f1=0.925908, agree_f1=0.379591, average_f1=0.658758
BATCH 44 training acc=0.843750, cost=0.483767, test acc=0.788259, cost=0.537278, disagree_f1=0.662034, neural_f1=0.921847, agree_f1=0.390244, average_f1=0.658042
BATCH 45 training acc=0.562500, cost=0.828577, test acc=0.777926, cost=0.557707, disagree_f1=0.663335, neural_f1=0.914583, agree_f1=0.374710, average_f1=0.650876
BATCH 46 training acc=0.906250, cost=0.419225, test acc=0.779619, cost=0.552033, disagree_f1=0.667765, neural_f1=0.915097, agree_f1=0.368390, average_f1=0.650417
BATCH 47 training acc=0.625000, cost=0.780478, test acc=0.781044, cost=0.548763, disagree_f1=0.668856, neural_f1=0.916216, agree_f1=0.368642, average_f1=0.651238
BATCH 48 training acc=0.687500, cost=0.652116, test acc=0.788616, cost=0.538748, disagree_f1=0.686282, neural_f1=0.919101, agree_f1=0.359936, average_f1=0.655106
BATCH 49 training acc=0.687500, cost=0.684374, test acc=0.786478, cost=0.543033, disagree_f1=0.687426, neural_f1=0.916972, agree_f1=0.359444, average_f1=0.654614
BATCH 50 training acc=0.718750, cost=0.651570, test acc=0.775788, cost=0.564525, disagree_f1=0.679044, neural_f1=0.910915, agree_f1=0.353223, average_f1=0.647727
BATCH 51 training acc=0.718750, cost=0.682729, test acc=0.772403, cost=0.567320, disagree_f1=0.667334, neural_f1=0.910516, agree_f1=0.359334, average_f1=0.645728
BATCH 52 training acc=0.687500, cost=0.663443, test acc=0.775254, cost=0.563620, disagree_f1=0.659692, neural_f1=0.912858, agree_f1=0.380488, average_f1=0.651013
BATCH 53 training acc=0.750000, cost=0.676265, test acc=0.774541, cost=0.559083, disagree_f1=0.639171, neural_f1=0.914880, agree_f1=0.400446, average_f1=0.651499
BATCH 54 training acc=0.687500, cost=0.602829, test acc=0.778728, cost=0.545301, disagree_f1=0.621598, neural_f1=0.920866, agree_f1=0.417195, average_f1=0.653220
BATCH 55 training acc=0.593750, cost=0.703551, test acc=0.774274, cost=0.553360, disagree_f1=0.607079, neural_f1=0.919356, agree_f1=0.424436, average_f1=0.650290
BATCH 56 training acc=0.687500, cost=0.785294, test acc=0.770622, cost=0.569587, disagree_f1=0.617100, neural_f1=0.915221, agree_f1=0.414362, average_f1=0.648894
BATCH 57 training acc=0.625000, cost=0.606724, test acc=0.770622, cost=0.585286, disagree_f1=0.649661, neural_f1=0.911143, agree_f1=0.386522, average_f1=0.649108
BATCH 58 training acc=0.781250, cost=0.610639, test acc=0.753251, cost=0.629179, disagree_f1=0.653266, neural_f1=0.896808, agree_f1=0.361119, average_f1=0.637064
BATCH 59 training acc=0.625000, cost=0.606032, test acc=0.721717, cost=0.684971, disagree_f1=0.643783, neural_f1=0.867088, agree_f1=0.331285, average_f1=0.614052
BATCH 60 training acc=0.437500, cost=0.931194, test acc=0.703991, cost=0.723551, disagree_f1=0.643045, neural_f1=0.849418, agree_f1=0.316593, average_f1=0.603018
BATCH 61 training acc=0.656250, cost=0.920874, test acc=0.703456, cost=0.721652, disagree_f1=0.644992, neural_f1=0.849061, agree_f1=0.314733, average_f1=0.602929
BATCH 62 training acc=0.531250, cost=0.776930, test acc=0.704347, cost=0.722745, disagree_f1=0.645829, neural_f1=0.850314, agree_f1=0.321779, average_f1=0.605974
BATCH 63 training acc=0.750000, cost=0.594977, test acc=0.723321, cost=0.694032, disagree_f1=0.658754, neural_f1=0.868742, agree_f1=0.330647, average_f1=0.619381
BATCH 64 training acc=0.500000, cost=0.663585, test acc=0.742206, cost=0.650582, disagree_f1=0.665608, neural_f1=0.885803, agree_f1=0.340129, average_f1=0.630513
BATCH 65 training acc=0.625000, cost=0.736685, test acc=0.763050, cost=0.604087, disagree_f1=0.668276, neural_f1=0.904345, agree_f1=0.356712, average_f1=0.643111
BATCH 66 training acc=0.812500, cost=0.660501, test acc=0.777481, cost=0.558140, disagree_f1=0.665571, neural_f1=0.915975, agree_f1=0.372881, average_f1=0.651476
